"Path","Methods","Tags"
"/admin/createDownloadUrl/{userId}/{fileId}","get,put,post,delete,options,head,patch","Admin Management"
"/admin/delFile","get,put,post,delete,options,head,patch","Admin Management"
"/admin/download/{code}","get,put,post,delete,options,head,patch","Admin Management"
"/admin/getFile/{userId}/{fileId}","get,put,post,delete,options,head,patch","Admin Management"
"/admin/getFolderInfo","get,put,post,delete,options,head,patch","Admin Management"
"/admin/getImage/{userId}/{imageFolder}/{imageName}","get,put,post,delete,options,head,patch","Admin Management"
"/admin/getSysSettings","get,put,post,delete,options,head,patch","Admin Management"
"/admin/loadFileList","get,put,post,delete,options,head,patch","Admin Management"
"/admin/loadUserList","get,put,post,delete,options,head,patch","Admin Management"
"/admin/saveSysSettings","get,put,post,delete,options,head,patch","Admin Management"
"/admin/ts/getVideoInfo/{userId}/{fileId}","get,put,post,delete,options,head,patch","Admin Management"
"/admin/updateUserSpace","get,put,post,delete,options,head,patch","Admin Management"
"/admin/updateUserStatus","get,put,post,delete,options,head,patch","Admin Management"
"/analytics/web-vitals","post","Analytics"
"/analytics/web-vitals/stats","get","Analytics"
"/checkCode","get,put,post,delete,options,head,patch","Account Management"
"/file/batchDownload/{fileIds}","get,put,post,delete,options,head,patch","File Management"
"/file/changeFileFolder","get,put,post,delete,options,head,patch","File Management"
"/file/createDownloadUrl/{fileId}","get,put,post,delete,options,head,patch","File Management"
"/file/delFile","get,put,post,delete,options,head,patch","File Management"
"/file/download/{code}","get,put,post,delete,options,head,patch","File Management"
"/file/getFile/{fileId}","get,put,post,delete,options,head,patch","File Management"
"/file/getFolderInfo","get,put,post,delete,options,head,patch","File Management"
"/file/getImage/{imageFolder}/{imageName}","get,put,post,delete,options,head,patch","File Management"
"/file/loadAllFolder","get,put,post,delete,options,head,patch","File Management"
"/file/loadDataList","get,put,post,delete,options,head,patch","File Management"
"/file/loadDataListCursor","get,put,post,delete,options,head,patch","File Management"
"/file/newFoloder","get,put,post,delete,options,head,patch","File Management"
"/file/rename","get,put,post,delete,options,head,patch","File Management"
"/file/ts/getVideoInfo/{fileId}","get,put,post,delete,options,head,patch","File Management"
"/file/uploadedChunks","get,put,post,delete,options,head,patch","File Management"
"/file/uploadFile","get,put,post,delete,options,head,patch","File Management"
"/getAvatar/{userId}","get,put,post,delete,options,head,patch","Account Management"
"/getUserInfo","get,put,post,delete,options,head,patch","Account Management"
"/getUseSpace","get,put,post,delete,options,head,patch","Account Management"
"/login","get,put,post,delete,options,head,patch","Account Management"
"/logout","get,put,post,delete,options,head,patch","Account Management"
"/qqlogin","get,put,post,delete,options,head,patch","Account Management"
"/qqlogin/callback","get,put,post,delete,options,head,patch","Account Management"
"/recycle/delFile","get,put,post,delete,options,head,patch","recycle-controller"
"/recycle/loadRecycleList","get,put,post,delete,options,head,patch","recycle-controller"
"/recycle/recoverFile","get,put,post,delete,options,head,patch","recycle-controller"
"/refreshToken","get,put,post,delete,options,head,patch","Account Management"
"/register","get,put,post,delete,options,head,patch","Account Management"
"/resetPwd","get,put,post,delete,options,head,patch","Account Management"
"/sendEmailCode","get,put,post,delete,options,head,patch","Account Management"
"/share/cancelShare","get,put,post,delete,options,head,patch","Share Management"
"/share/checkShareStatus","get,put,post,delete,options,head,patch","Share Management"
"/share/getShareUrl","get,put,post,delete,options,head,patch","Share Management"
"/share/loadShareList","get,put,post,delete,options,head,patch","Share Management"
"/share/shareFile","get,put,post,delete,options,head,patch","Share Management"
"/showShare/checkShareCode","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/createDownloadUrl/{shareId}/{fileId}","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/download/{code}","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/getFile/{shareId}/{fileId}","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/getFolderInfo","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/getImage/{shareId}/{imageFolder}/{imageName}","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/getShareInfo","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/getShareLoginInfo","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/loadFileList","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/saveShare","get,put,post,delete,options,head,patch","web-share-controller"
"/showShare/ts/getVideoInfo/{shareId}/{fileId}","get,put,post,delete,options,head,patch","web-share-controller"
"/updatePassword","get,put,post,delete,options,head,patch","Account Management"
"/updateUserAvatar","get,put,post,delete,options,head,patch","Account Management"
